strategy,fold,train_f1_NORM,train_f1_AMI,train_f1_IMI,train_f1_Lateral-involved MI,val_f1_NORM,val_f1_AMI,val_f1_IMI,val_f1_Lateral-involved MI,test_f1_NORM,test_f1_AMI,test_f1_IMI,test_f1_Lateral-involved MI,test_sensitivity_NORM,test_sensitivity_AMI,test_sensitivity_IMI,test_sensitivity_Lateral-involved MI,test_specificity_NORM,test_specificity_AMI,test_specificity_IMI,test_specificity_Lateral-involved MI,test_auc_NORM,test_auc_AMI,test_auc_IMI,test_auc_Lateral-involved MI
no_pretrain,1,0.993939393939394,0.9876160990712074,0.9901153212520593,0.983177570093458,0.992,0.9938650306748468,0.9869281045751634,0.9809885931558936,0.8723404255319149,0.7236842105263158,0.9109947643979056,0.8585858585858586,0.8723404255319149,0.5670103092783505,0.9456521739130436,1.0,0.9508196721311476,1.0,0.9256965944272446,0.933649289099526,0.983839088478084,0.986220769424189,0.9883059631175124,0.9697797602453304
no_pretrain,2,0.992964824120603,0.9829457364341084,0.9793899422918384,0.9728718428437793,1.0,1.0,0.99009900990099,0.9887640449438202,0.9136690647482014,0.8242424242424242,0.9047619047619048,0.8808290155440415,0.900709219858156,0.7010309278350515,0.9293478260869564,1.0,0.9726775956284152,1.0,0.9287925696594428,0.9454976303317536,0.9775219935666396,0.9837063112899168,0.9564207834163414,0.9737942570393088
no_pretrain,3,0.9969727547931384,0.9937888198757764,0.9885057471264368,0.9859681945743686,1.0,0.9937888198757764,0.99672131147541,0.9924812030075189,0.8937728937728938,0.8313253012048193,0.9015544041450776,0.8994708994708994,0.8652482269503546,0.711340206185567,0.9456521739130436,1.0,0.9726775956284152,1.0,0.913312693498452,0.9549763033175356,0.9775995039336512,0.9630374654262006,0.9511626733073092,0.9885698355171452
no_pretrain,4,0.977867203219316,0.9907120743034056,0.9710982658959536,0.9710550887021476,0.991869918699187,1.0,0.9934640522875816,1.0,0.9057971014492754,0.8313253012048193,0.8733153638814016,0.845771144278607,0.8865248226950354,0.711340206185567,0.8804347826086957,1.0,0.9726775956284152,1.0,0.9226006191950464,0.9265402843601896,0.9908731542843856,0.9530047774704552,0.960980616502894,0.995260663507109
no_pretrain,5,0.9929789368104311,0.9876160990712074,0.9826302729528535,0.9738317757009346,0.9838709677419356,1.0,0.9802631578947368,0.9849624060150376,0.8763250883392226,0.8072289156626506,0.8972972972972973,0.8717948717948718,0.8794326241134752,0.6907216494845361,0.9021739130434784,1.0,0.9508196721311476,0.9951219512195122,0.9380804953560372,0.9407582938388626,0.9704491725768322,0.9856675886346492,0.95613474222641,0.9698912740451632
frozen_backbone,1,0.8022181146025879,0.6615853658536586,0.6786551993745114,0.5094130675526024,0.8769230769230769,0.6826347305389222,0.7382920110192838,0.46875,0.78419452887538,0.562962962962963,0.6904761904761905,0.0,0.9148936170212766,0.3917525773195876,0.7880434782608695,0.0,0.8387978142076503,1.0,0.718266253869969,0.8933649289099526,0.9626787582839204,0.9753583102841338,0.8820332480818415,0.5496793978254809
frozen_backbone,2,0.7967032967032966,0.6940639269406392,0.6764705882352942,0.5017026106696936,0.8059701492537313,0.7570621468926554,0.6888217522658611,0.5490196078431373,0.7624633431085044,0.5942028985507246,0.7397959183673469,0.0419580419580419,0.9219858156028368,0.422680412371134,0.7880434782608695,0.0352941176470588,0.8087431693989071,1.0,0.804953560371517,0.8696682464454977,0.961438592411735,0.979557455368368,0.8938282406784225,0.6560356844159465
frozen_backbone,3,0.7868252516010978,0.6325036603221084,0.6501547987616099,0.4074941451990632,0.7955390334572491,0.7159090909090909,0.6685878962536023,0.4148936170212766,0.6614583333333334,0.6620689655172414,0.7855153203342619,0.0,0.900709219858156,0.4948453608247423,0.7663043478260869,0.0,0.6830601092896175,1.0,0.8947368421052632,0.9028436018957346,0.9347362709762432,0.9834800100578326,0.871718939291964,0.3797602453303596
frozen_backbone,4,0.7830882352941176,0.7275362318840579,0.6718628215120811,0.4901277584204414,0.8208955223880597,0.6740331491712708,0.7142857142857143,0.482051282051282,0.8275862068965517,0.60431654676259,0.6713615023474179,0.0,0.9361702127659576,0.4329896907216495,0.7771739130434783,0.0,0.8743169398907104,1.0,0.6934984520123839,0.8933649289099526,0.9566329496570166,0.9805380940407342,0.8708776416745189,0.625843323111235
frozen_backbone,5,0.8,0.696319018404908,0.6713395638629284,0.5297418630751964,0.8503937007874016,0.6705202312138728,0.7303370786516854,0.467005076142132,0.8050314465408805,0.5522388059701493,0.6859903381642513,0.0,0.9078014184397164,0.3814432989690721,0.7717391304347826,0.0,0.8661202185792349,1.0,0.7275541795665634,0.8507109004739336,0.9610801069643063,0.984435504148856,0.8755720823798627,0.4639531642040702
partial_finetune,1,0.9429429429429428,0.928125,0.913907284768212,0.907735321528425,0.9879518072289156,0.9333333333333332,0.9493670886075948,0.9126984126984128,0.8698884758364313,0.8098159509202454,0.7546296296296297,0.4533333333333333,0.8297872340425532,0.6804123711340206,0.8858695652173914,0.4,0.9699453551912568,1.0,0.7368421052631579,0.9265402843601896,0.9809324497151494,0.969021875785768,0.930088167990308,0.9172567605241148
partial_finetune,2,0.9347826086956522,0.9318885448916407,0.9063545150501672,0.8895131086142322,0.940677966101695,0.9696969696969696,0.94006309148265,0.9465648854961832,0.8960573476702509,0.8786127167630058,0.7971698113207547,0.5652173913043478,0.8865248226950354,0.7835051546391752,0.9184782608695652,0.4588235294117647,0.96448087431694,1.0,0.7801857585139319,0.966824644549763,0.971398674572724,0.963087754588886,0.9528705074707228,0.9613325899080012
partial_finetune,3,0.9311023622047244,0.9374045801526718,0.9109075770191508,0.8990476190476191,0.9451476793248944,0.9316770186335404,0.9063444108761328,0.8844621513944223,0.9219330855018588,0.8520710059171598,0.748898678414097,0.1475409836065573,0.8794326241134752,0.7422680412371134,0.9239130434782608,0.1058823529411764,0.989071038251366,1.0,0.6904024767801857,0.933649289099526,0.9893810797194124,0.9931355292934372,0.9425057208237988,0.890521327014218
partial_finetune,4,0.9304174950298212,0.9171779141104296,0.8946058091286307,0.8687440982058546,0.9411764705882352,0.9132947976878611,0.9433962264150944,0.9163346613545816,0.8962962962962963,0.8520710059171598,0.765375854214123,0.4117647058823529,0.8581560283687943,0.7422680412371134,0.9130434782608696,0.3294117647058823,0.9781420765027322,1.0,0.7306501547987616,0.9454976303317536,0.9728713715459444,0.9949207945687704,0.9552261407995692,0.9404516308893226
partial_finetune,5,0.9384920634920636,0.9345509893455098,0.8929460580912864,0.8821292775665399,0.9294605809128632,0.934131736526946,0.9079754601226994,0.902439024390244,0.9398496240601504,0.779874213836478,0.7837259100642399,0.1639344262295081,0.8865248226950354,0.6391752577319587,0.9945652173913044,0.1176470588235294,1.0,1.0,0.6904024767801857,0.9360189573459716,0.9948261830019766,0.9907719386472216,0.9723381343384035,0.9086144410370784
full_finetune,1,1.0,0.9953488372093025,0.9950657894736842,0.993439550140581,0.9959839357429718,0.9878048780487804,0.99009900990099,0.9924812030075189,0.896797153024911,0.8098159509202454,0.8936170212765957,0.8762886597938144,0.8936170212765957,0.6804123711340206,0.9130434782608696,1.0,0.9617486338797814,1.0,0.9256965944272446,0.943127962085308,0.9927140255009108,0.9109630374654262,0.9850249024094764,0.9715361025926958
full_finetune,2,0.993963782696177,0.9953632148377124,0.9917355371900828,0.9915966386554622,1.0,1.0,0.9966777408637874,0.9962825278810408,0.8978102189781022,0.872093023255814,0.8923884514435696,0.9090909090909092,0.8723404255319149,0.7731958762886598,0.9239130434782608,1.0,0.9726775956284152,1.0,0.9164086687306502,0.9597156398104264,0.9895942332286944,0.9138295197384964,0.975888410284022,0.9818650683022024
full_finetune,3,0.993963782696177,0.99537750385208,0.9867986798679867,0.9878163074039362,1.0,1.0,0.99672131147541,0.99625468164794,0.8708487084870848,0.8654970760233918,0.8865979381443299,0.9239130434782608,0.8368794326241135,0.7628865979381443,0.9347826086956522,1.0,0.9672131147540984,1.0,0.9009287925696594,0.966824644549763,0.98816029143898,0.9439778727684184,0.9855465069322924,0.9773348201839978
full_finetune,4,0.9919354838709676,0.9938271604938272,0.9925558312655088,0.9916123019571296,1.0,1.0,1.0,1.0,0.9057971014492754,0.8520710059171598,0.908616187989556,0.913978494623656,0.8865248226950354,0.7422680412371134,0.9456521739130436,1.0,0.9726775956284152,1.0,0.9226006191950464,0.962085308056872,0.9936247723132968,0.9408096555192356,0.986286848835644,0.9720379146919432
full_finetune,5,0.993963782696177,0.9984544049459042,0.9876339653751032,0.99250936329588,0.9959514170040484,0.9937888198757764,0.9869281045751634,0.9849624060150376,0.9642857142857144,0.8242424242424242,0.9329758713136728,0.8673469387755102,0.9574468085106383,0.7010309278350515,0.9456521739130436,1.0,0.989071038251366,1.0,0.953560371517028,0.9383886255924172,0.9978878424989344,0.9080462660296704,0.9850417283618252,0.9715082241427376
